study,name,Run,BioSample,sample,type,cohort
MPB+17,"Manus Basin",ERR1665221,SAMEA4473285,MNB1-CTD-1,marine,
MPB+17,"Manus Basin",ERR1665222,SAMEA4473286,MNB2-CTD-2,marine,
MPB+17,"Manus Basin",ERR1665223,SAMEA4473287,MNB3-CTD-3,marine,
MPB+17,"Manus Basin",ERR1665224,SAMEA4473288,MNB4-CTD-4,marine,
MPB+17,"Manus Basin",ERR1665225,SAMEA4473289,MNB5-Fw-A1,fauna,
MPB+17,"Manus Basin",ERR1665226,SAMEA4473290,MNB6-Fw-A2,fauna,
MPB+17,"Manus Basin",ERR1665227,SAMEA4473291,MNB7-Fw-A3,fauna,
MPB+17,"Manus Basin",ERR1665228,SAMEA4473292,MNB8-Fw-A4,fauna,
MPB+17,"Manus Basin",ERR1665229,SAMEA4473293,MNB9-Fw-A5,fauna,
MPB+17,"Manus Basin",ERR1665230,SAMEA4473294,MNB10-Fw-A6,fauna,
MPB+17,"Manus Basin",ERR1665231,SAMEA4473295,MNB11-Fw-A7,fauna,
MPB+17,"Manus Basin",ERR1665232,SAMEA4473296,MNB12-Fw-F10,marine,
MPB+17,"Manus Basin",ERR1665233,SAMEA4473297,MNB13-Fw-F1a,marine,
MPB+17,"Manus Basin",ERR1665234,SAMEA4473298,MNB14-Fw-F1b,marine,
MPB+17,"Manus Basin",ERR1665235,SAMEA4473299,MNB15-Fw-F2a,marine,
MPB+17,"Manus Basin",ERR1665236,SAMEA4473300,MNB16-Fw-F2b,marine,
MPB+17,"Manus Basin",ERR1665237,SAMEA4473301,MNB17-Fw-F3,marine,
MPB+17,"Manus Basin",ERR1665238,SAMEA4473302,MNB18-Fw-F4,hydrothermal,
MPB+17,"Manus Basin",ERR1665239,SAMEA4473303,MNB19-Fw-F5,hydrothermal,
MPB+17,"Manus Basin",ERR1665240,SAMEA4473304,MNB20-Fw-F6,hydrothermal,
MPB+17,"Manus Basin",ERR1665241,SAMEA4473305,MNB21-Fw-F7,hydrothermal,
MPB+17,"Manus Basin",ERR1665242,SAMEA4473306,MNB22-Fw-F8,marine,
MPB+17,"Manus Basin",ERR1665243,SAMEA4473307,MNB23-Fw-F9,marine,
MPB+17,"Manus Basin",ERR1665244,SAMEA4473308,MNB24-NSu-F1,marine,
MPB+17,"Manus Basin",ERR1665245,SAMEA4473309,MNB25-Nsu-F10,hydrothermal,
MPB+17,"Manus Basin",ERR1665246,SAMEA4473310,MNB26-NSu-F2a,hydrothermal,
MPB+17,"Manus Basin",ERR1665247,SAMEA4473311,MNB27-NSu-F2b,hydrothermal,
MPB+17,"Manus Basin",ERR1665248,SAMEA4473312,MNB28-NSu-F4,marine,
MPB+17,"Manus Basin",ERR1665249,SAMEA4473313,MNB29-NSu-F5,hydrothermal,
MPB+17,"Manus Basin",ERR1665250,SAMEA4473314,MNB30-NSu-F6,marine,
MPB+17,"Manus Basin",ERR1665251,SAMEA4473315,MNB31-NSu-F7,marine,
MPB+17,"Manus Basin",ERR1665252,SAMEA4473316,MNB32-NSu-F8,hydrothermal,
MPB+17,"Manus Basin",ERR1665253,SAMEA4473317,MNB33-NSu-F9,marine,
MPB+17,"Manus Basin",ERR1665254,SAMEA4473318,MNB34-NSu-R1a,rock,
MPB+17,"Manus Basin",ERR1665255,SAMEA4473319,MNB35-NSu-R1b,rock,
MPB+17,"Manus Basin",ERR1665256,SAMEA4473320,MNB36-NSu-R2a,rock,
MPB+17,"Manus Basin",ERR1665257,SAMEA4473321,MNB37-NSu-R2b,rock,
MPB+17,"Manus Basin",ERR1665258,SAMEA4473322,MNB38-NSu-R3,rock,
MPB+17,"Manus Basin",ERR1665259,SAMEA4473323,MNB39-NSu-R4a,rock,
MPB+17,"Manus Basin",ERR1665260,SAMEA4473324,MNB40-NSu-R4b,rock,
MPB+17,"Manus Basin",ERR1665261,SAMEA4473325,MNB41-NSu-R5,rock,
MPB+17,"Manus Basin",ERR1665262,SAMEA4473326,MNB42-RR-A1,fauna,
MPB+17,"Manus Basin",ERR1665263,SAMEA4473327,MNB43-RR-A2,fauna,
MPB+17,"Manus Basin",ERR1665265,SAMEA4473329,MNB45-RR-F1b,marine,
MPB+17,"Manus Basin",ERR1665266,SAMEA4473330,MNB46-RR-R1,rock,
MPB+17,"Manus Basin",ERR1665267,SAMEA4473331,MNB47-RR-R2,rock,
MPB+17,"Manus Basin",ERR1665268,SAMEA4473332,MNB48-SnC-R1,rock,
MPB+17,"Manus Basin",ERR1665269,SAMEA4473333,MNB49-Sol8-F1,hydrothermal,
MPB+17,"Manus Basin",ERR1665271,SAMEA4473335,MNB51-Sol8-R1b,rock,
MPB+17,"Manus Basin",ERR1665272,SAMEA4473336,MNB52-StM-F1,marine,
MPB+17,"Manus Basin",ERR1665273,SAMEA4473337,MNB53-StM-F2,hydrothermal,
MPB+17,"Manus Basin",ERR1665274,SAMEA4473338,MNB54-StM-F3a,hydrothermal,
MPB+17,"Manus Basin",ERR1665275,SAMEA4473339,MNB55-StM-F3b,marine,
MPB+17,"Manus Basin",ERR1665276,SAMEA4473340,MNB56-StM-R1,rock,
